subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,group,hc_acc
4,tools/drillbit.jpg,1,7,CS+,baseline,DO,healthy,1
4,tools/plunger.jpg,1,7,CS+,baseline,DO,healthy,1
4,tools/weldinghelmet.jpg,1,5,CS+,baseline,DO,healthy,1
4,tools/electricbreaker.jpg,2,4,CS+,baseline,MN,healthy,0
4,tools/chisel.jpg,1,3,CS+,baseline,DO,healthy,1
4,tools/gardenhose.jpg,3,7,CS+,baseline,DO,healthy,1
4,tools/lawnmower.jpg,2,6,CS+,acquisition,DO,healthy,1
4,tools/levelmount.jpg,3,1,CS+,acquisition,DN,healthy,0
4,tools/broom.jpg,2,6,CS+,acquisition,DO,healthy,1
4,tools/beaker.jpg,3,4,CS+,acquisition,MO,healthy,0
4,tools/mallet.jpg,1,5,CS+,acquisition,MO,healthy,0
4,tools/benchdogs.jpg,1,1,CS+,acquisition,DO,healthy,1
4,tools/blackboard.jpg,1,4,CS+,acquisition,DO,healthy,1
4,tools/wrench.jpg,1,7,CS+,acquisition,DO,healthy,1
4,tools/monkeywrench.jpg,1,6,CS+,extinction,DO,healthy,1
4,tools/padlock.jpg,2,6,CS+,extinction,DO,healthy,1
4,tools/jumpercables.jpg,2,5,CS+,extinction,DO,healthy,1
4,tools/duffelbag.jpg,3,6,CS+,extinction,DO,healthy,1
4,tools/campingstove.jpg,2,5,CS+,extinction,MN,healthy,0
4,tools/toaster.jpg,2,7,CS+,extinction,MN,healthy,0
4,tools/bucket.jpg,1,7,CS+,extinction,DO,healthy,1
4,tools/edger.jpg,2,4,CS+,extinction,MO,healthy,0
4,animals/pike.jpg,3,5,CS-,baseline,MN,healthy,0
4,animals/waterbuffalo.jpg,1,6,CS-,baseline,MN,healthy,0
4,animals/boar.jpg,2,6,CS-,baseline,MO,healthy,0
4,animals/crow.jpg,1,7,CS-,baseline,MO,healthy,0
4,animals/prayingmantis.jpg,3,5,CS-,baseline,DO,healthy,1
